block,start,end
Before School, 0:00:00, 8:55:00
A,8:55:00,10:20:00
Break 1,10:20:00,10:30:00
B,10:30:00,11:45:00
Lunch,11:45:00,12:25:00
C,12:25:00,13:40:00
Break 2,13:40:00,13:50:0
D,13:50:00,15:05:00
Go Home, 15:05:00, 23:59:59
Before School, 0:00:00, 8:55:00
A (Flex),8:55:00,9:40:00
Break 1 (Flex),9:40:00,9:50:00
B (Flex),9:50:00,10:35:00
Break 2 (Flex),10:35:00,10:45:00
C (Flex),10:45:00,11:30:00
Break 3 (flex),11:30:00,11:40:00
D (Flex),11:40:00,12:25:00
Lunch (Flex),12:25:00,13:5:00
Flex 1,13:5:00,14:0:00
Break 4 (Flex),14:0:00,14:10:00
Flex 2,14:10:00,15:5:00
Go Home, 15:05:00, 23:59:59
Custom Schedule:
Before SChool, 0:00:00, 8:55:00
A (Flex),8:55:00,9:40:00
Break 1 (Flex),9:40:00,9:50:00
B (Flex),9:50:00,10:35:00
Break 2 (Flex),10:35:00,10:45:00
C (Flex),10:45:00,11:30:00
Break 3 (flex),11:30:00,11:40:00
D (Flex),11:40:00,12:25:00
Lunch (Flex),12:25:00,13:15:00
Flex,13:15:00,14:15:00
Party,14:15:00,15:05:00
Go Home, 15:05:00, 23:59:59